"Discid","Artist","Album","Pret","An","Casa de discuri","COD","Stare disc","Stare coperta",Gen,Poza,Stoc
"673","Tower Of Power","Ain't Nothin' Stoppin' Us Now","20","1976","CBS","CBS81572","VG+","G",,,
"843","Traks","Long Train Runnin'","30","1982","Polydor","2374 201","VG+","VG+",,,
"863","Traks","Get Ready","25","1983","Polydor","813 243-1","VG+","VG+",,,
"839","Transister","Zig-Zag","25","1979","Ariola","201 163-320","NM","NM",,,
"674","Truck Stop","Truckin' On New Tracks","15","1976","Telefunken","6 22 407","VG+","VG+",,,
"675","Ultravox","Vienna","35","1980","Chrysalis","202 701-320","VG","VG+",,,
"787","Van Morrison","Astral Weeks","20","1972","Midi","MID 26 004","VG","G",,,
"676","Various Artists","Against All Odds OST","35","1984","Atlantic","780 152-1","VG+","VG",,,
"677","Various Artists","Filme - Die Man Nicht Vergist (Muzica de film) (2LP)","30",,"United Artists","UAS 29 126/27 X","VG+","VG+",,,
"678","Various Artists","Jesus Super Soul","30",,"Polydor","2480 065","VG+","VG+",,,
"680","Various Artists","More Dirty Dancing","25","1988","RCA","BL 86965","VG+","VG+",,,
"681","Various Artists","Pretty Woman - Soundtrack","30","1990","EMI USA","MTL 1052","VG+","VG+",,,
"682","Various Artists","Staying Alive OST","25","1983","RSO","813269-1","VG","G",,,
"772","Various Artists","Greenpeace - Rainbow Warriors (2LP)","35","1989","Geffen","XGHS24236","VG+","VG+",,,
"683","Various Artists","Thank God It's Friday -Soundtrack (2LP)","30","1978","Casablanca","NB7041","VG","VG",,,
"775","Various Artists","Volunteer Jam VII hosted by Charlie Daniels Band","25","1981","Epic","AL37178","NM","VG+",,,
"868","Various Artists","Super Italia","30","1985","K-Tel","TG1571","NM","NM",,,
"684","Vice","Second Excess","25","1990","Ariola","210 534","VG+","VG+",,,
"786","Viktor Lazlo","Viktor Lazlo","30","1987","Polydor","832 147","VG+","VG+",,,
"685","Viktor Lazlo","She","30","1985","Polydor","827 958-1","VG+","VG+",,,
"686","Village People","Cruisin'","25","1978","Metronome","0900.112","VG","VG",,,
"687","Village People","Macho Man","30","1978","Telefunken","6.23 449","VG+","VG+",,,
"886","Village People","Go West","25","1979","Metronome","0060.183","VG+","VG+",,,
"887","Village People","Cruisin'","25","1978","Casablanca","NBLP7118","VG+","VG+",,,
"888","Village People","I Am What I Am - The Best Of Village People","30","1979","Telefunken","6.23.697","VG+","VG+",,,
"847","Vince Webber","Piano Blues & Boogie Woogie","20","1975","EMI Electrola","C 062-29 597","G","VG",,,
"783","VOG","VOG","25","1981","RCA Victor","PL 28466","VG+","VG+",,,
"688","Warren Schatz","Warren Schatz","15","1971","Intercord","26014-1","VG","VG",,,
"689","Werner Muller Orchestra","Werner's Muller's Grosse Musical Show","10",,"Decca","BLK 16 310-P","VG","G",,,
"726","Wilson Pickett","Star Collection vol.1","25","1972","MIDI","MID 20 017","VG+","VG+",,,
"727","Wilson Pickett","Star Collection vol.2","25","1974","MIDI","MID 20 078","VG+","VG+",,,
"728","Wilson Pickett","Star Collection","25","1972","MIDI","MID 20 017","VG+","VG+",,,
"690","Womack & Womack","Conscience","35","1988","4th & Broadway","209 139","VG+","VG+",,,
"723","Working Week","Working Nights","25","1985","Virgin","206 950","VG+","VG+",,,
"724","Working Week","Working Nights  (LP) + Stellamarina (MaxiSingle)","30","1985","Virgin","206 950/601 733","VG+","VG+",,,
"691","Zarah Leander","Ich weiss es wird eial (2LP)","15",,"Ariola","86 734","VG+","VG+",,,
