"Discid","Artist","Album","Pret","An","Casa de discuri","COD","Stare disc","Stare coperta",Gen,Poza,Stoc
"182","Fairground Attraction","The First Of A Million Kisses","35","1988","RCA","PL71696","NM","NM",,,
"184","Fat Boys","Crushin'","30","1987","Polydor","831 948-1","VG+","VG+",,,
"185","Fats Domino","Attention!","20",,"Fontana","6430024","VG+","VG+",,,
"186","Fats Domino","Cookin' With Fats (2LP)","25","1973","UA records","UAS 29 561/62XC","VG+","VG+",,,
"187","Fats Domino","Fantastic Fats","25","1965","MFP","MFP50294","VG+","VG+",,,
"188","Fats Domino","Fantastic Fats (Sixteen of the Greatest Tracks)","20","1976","ABC Records","27 376 XAT","NM","VG+",,,
"189","Fats Domino","Fats Domino","20","1973","Everest Rec","FS-280","NM","VG+",,,
"190","Fats Domino","Here Comes The King of Rock'n'Roll","20",,"Sunset","SLS 50053 Z","VG+","VG+",,,
"191","Fats Domino","Play It Again (The VeryBest Of)","20","1975","UA records","UAS 29 467","NM","NM",,,
"192","Fats Domino","Star Collection","20","1973","Midi","MID 24006","VG+","VG+",,,
"193","Feargal Sharkey","Feargal Sharkey","15","1985","Virgin","207 320-630","VG","VG",,,
"194","Francis Lai","Bilitis - Soundtrack","20","1977","Warner Bros.","WB56412","VG+","VG",,,
"195","Frank Duval","Face to Face","25","1982","K-Tel","TG1389","VG+","VG+",,,
"862","Frank Sinatra","Ol' Blue Eyes Is Black (Gatefold)","35","1973","Reprise","WEA31 645","VG+","VG+",,,
"196","Frankie Goes To Hollywood","Liverpool","25","1986","ZTT","ZTTIQ 8","VG+","VG",,,
"197","Frankie Miller","Falling In Love","30","1979","Chrysalis","38 780 3","VG+","VG+",,,
"199","Franz Benton","Talking To A Wall","25","1986","Marlboro Music","257 924","NM","NM",,,
"198","Frida","Something's Going On","25","1982","Polydor","2311 176","VG+","VG+",,,
"200","Garland Jeffreys","American Boy & Girl","30","1979","A&M","AMLH64778","VG+","VG+",,,
"201","Garland Jeffreys","Ghost Writer (Gatefold Cover)","30","1977","A&M","AMLH64629","VG+","VG+",,,
"828","Gary Wright","The Dream Weaver","30","1975","Warner Bros.","WB 56 141","NM","NM",,,
"202","Gene Pitney","His 20 Greatest","25","1976","Arcade","ADE P22","VG+","VG+",,,
"203","Gene Vincent","Rock'n'Roll History vol.2","25",,"Capitol","1C 038-85 097","NM","VG+",,,
"204","George Baker Selection","Paloma Blanca","35","1975","Warner Bros.","WB 561 136","VG+","VG+",,,
"205","George Baker Selection","Sing A Song Of Love","35","180","MFP","1A022-58022","VG+","VG+",,,
"206","George McRae","Rock Your Baby","35","1974","T.K. Records","KPL1-0501","VG+","VG+",,,
"208","Georges Moustaki","Moustaki","25","1975","Polydor","2393 129","NM","VG+",,,
"210","Gianna Nannini","Latin Lover","25","1982","Metronome","0065.027","VG+","VG+",,,
"211","Gianna Nannini","Maschi e Altri","35","1987","Metronome","833952-1","VG+","VG+",,,
"212","Gianna Nannini","Scandalo","25","1990","Metronome","843977-1","VG+","VG+",,,
"213","Gianni Togni","Gianni Togni","25","1983","CGD","205 721","NM","NM",,,
"752","Gibson Brothers","On The Riviera","35","1980","Polydor","2374 163","NM","NM",,,
"793","Gilbert Becaud","Gilbert Becaud","25","1967","Amiga DDR","850 111","VG+","VG+",,,
"215","Gilbert O'Sullivan","A Stranger In My Own Back Yard","25","1974","MAM Records","062-EMD 98 016","VG+","VG+",,,
"216","Gilbert O'Sullivan","Back To Front","15","1972","MAM Records","MAMA503","VG+","VG+",,,
"217","Gilbert O'Sullivan","Himself (Gatefold)","20","1971","MAM Records","MAMA501","VG+","VG+",,,
"218","Gilbert O'Sullivan","I'm A Writer, Not A Fighter","15","1973","MAM Records","MAMA505","VG+","VG+",,,
"219","Gino Vannelli","Brother to Brother","15","1978","A&M","393 170-1","VG+","G",,,
"220","Glen Campbell","Basic","30","1978","Capitol","064-85 696","VG+","VG+",,,
"221","Glen Campbell","By The Time I Get To Phoenix","25","1967","Sounds Superb","SPR 90011 1","NM","VG+",,,
"222","Glenn Miller","The Legenday Sound Of Glenn Miller and his Band","25","1981","K-Tel","TG 1357","VG+","VG",,,
"223","Glenn Miller","In The Mood","25","1976","Intercord","25 108-2","VG+","VG+",,,
"226","Glenn Miller","Glenn Miller Plays Selections From The….","20","1960","RCA Victor","CL 13759","VG+","VG+",,,
"227","Glenn Miller","String of Pearls (2LP)","25","1973","Pickwick","CD2-0168D","VG+","VG+",,,
"228","Glenn Miller","Das Beste","20",,"RCA","RD 1013","VG","VG",,,
"229","Glenn Miller","Die Originalaunahmen (2LP)","25",,"RCA Victor","RCS 3105/1-2","VG+","VG+",,,
"230","Glenn Shorrock","Villain of the Peace","25","1983","Capitol","1A 064-7122221","VG+","VG+",,,
"231","Gloria Gaynor","Never Can Say Goodbye","30","1975","MGM","2315321","NM","NM",,,
"232","Godley & Creme","Goodbye Blue Sky","35","1988","Polydor","835 348-1","VG+","VG+",,,
"233","Golden Avatar","A Change Of Heart","35","1976","Sudarshan","BBT 108","VG+","VG+",,,
"234","Golden Earring's","Greatest Hits","30","1981","Polydor","2311 094","VG+","VG+",,,
"235","Goombay Dance Band","Land of Gold","30","1980","CBS","32337-8","NM","NM",,,
"236","Gordon Lightfoot","Gord's Gold (Double LP)","25","1975","Reprise","REP64 033","VG+","VG",,,
"237","Gordon Lightfoot","The Very Best Of","20","1975","UA records","UAS 29 759 Z","VG","VG",,,
"856","Gordon Lightfoot","Gord's Gold (Double LP)","35","1975","Reprise","REP64033","VG+","VG",,,
"238","G-Pal","Life (2LP)","35","2000","Plastic City","PLACLP021","VG+","VG",,,
"794","Grace Jones","Slave To The Rhytm","20","1985","Manhattan","062-24 0447","VG+","G",,,
"795","Grace Jones","Portfolio (Gatefold)","20","1976","Island","ILPS9470","VG+","VG",,,
"239","Grace Jones","Inside Story","20","1986","Manhattan","24 0643 1","VG","VG",,,
"240","Gus","Convicted","30","1980","Epic","EPC84422","NM","NM",,,
"241","Haicut One Hundred","Pelican West","25","1982","Arista","204 521","VG+","VG",,,
"242","Hank and The Bullfrogs","Hank Lorraine sings and plays Johnny Cash Hits","30","1973","AudiTon","909-2-121094","NM","VG+",,,
"243","Hank The Knife and The Jets","The Guitar King","20","1975","EMI","1C 056-97115A","VG+","G",,,
"244","Harold Melvin and The Blue Notes","Reaching For The World","20","1976","ABC Records","AB-969","VG+","VG+",,,
"245","Harry Belafonte","Harry Belafonte","20",,"Amiga","8 55 482","VG+","VG",,,
"246","Harry Belafonte","Jump Up Calypso (Gatefold)","30","1961","RCA","SRS 561","VG+","VG+",,,
"247","Harry Belafonte","Live on Stage at Carnegie Hall","25",,"RCA","6886 805","VG+","VG+",,,
"248","Hazel O'Connor","Breaking Glass","25","1980","A&M","396 943","VG+","VG+",,,
"249","Heaven 17","The Luxury Gap","30","1982","Virgin","205 337-320","VG+","VG+",,,
"250","Heaven 17","How Men Are","30","1984","Virgin","206 614-620","VG+","VG+",,,
"251","Helen Schneider","With The Kick","30","1983","WEA","24-0233-1","NM","VG+",,,
"760","Helen Schneider","Back On Track","30","1988","Epic","EPC461167","NM","NM",,,
"252","Hello","Bravo Präsentiert: Hello","30","1978","Arista","1C 038-61 424","VG+","VG+",,,
"253","Henry Paul Band","Anytime","25","1982","Atlantic","SD19325","VG+","VG+",,,
"254","Herb Alpert","Beyond","40","1980","A&M","AMLK63717","NM","NM",,,
"255","Herb Alpert","Rise","30","1979","A&M","AMLH64790","VG+","VG+",,,
"256","Herbert Gronemeyer","4630 Bochum","25","1984","EMI","1469051","VG+","VG",,,
"257","Herbert Gronemeyer","Luxus","25","1990","Electrola","1C 068-7 95068 1","VG+","VG+",,,
"258","Herman Brood & His Wild Romance","Go Nutz","25","1980","Aves","INT 146.527","VG+","VG+",,,
"259","Herman's Hermits","Greatest Hits","30","1968","EMIDisc","1C048-50727","NM","VG+",,,
"260","Hi-Gloss","Hi-Gloss","35","1981","Derby","DBR20282","VG+","VG",,,
"261","Holly Johnson","Blast","35","1989","MCA","256 395-1","VG+","VG+",,,
"262","Hot Chocolate","Bravo presentiert: Hot Chocolate","20","1976","RAK","1C 038-98 458","VG+","VG",,,
"263","Hot Chocolate","Class","25","1980","RAK","1C 074-64 174","VG+","VG+",,,
"264","Hot Chocolate","Every 1's A Winner","25","1978","RAK","1C 064-60499","VG+","VG+",,,
"265","Hot Chocolate","Going Through The Motions","25","1979","Infinity Rec.","INF9010","VG+","VG+",,,
"266","Hot Chocolate","Love Shot","30","1983","RAK","1C 064 1653831","VG+","VG+",,,
"267","Hot Chocolate","Mystery","25","1982","RAK","064-64933","VG+","VG+",,,
"268","Hot Chocolate","The Very Best Of","25","1987","Capitol","ST6556","VG+","VG+",,,
"269","Hot Chocolate","XIV Greatest Hits","25","1976","RAK","1C 062-98228","VG+","VG+",,,
"892","Howard Jones","Drean Into Action","25","1985","WEA","WX15","VG+","VG",,,
"270","Huey Lewis and The News","Small World","35","1988","Chrysalis","209 200","VG+","VG+",,,
"816","Huey Lewis and The News","Hard At Play","35","1991","EMI USA","7 93355 1","NM","NM",,,
"271","Hugh Cornwell & Robert Williams","Nosferatu","25","1979","UA","UAG30251","VG+","G",,,
"272","Humpe Humpe","Humpe.Humpe","25","1985","WEA","240 635-1","NM","NM",,,
"878","Ian Lloyd","Goose Bumps","30","1979","Scotti Brothers","26 14004","NM","NM",,,
"274","Icehouse","Primitive Man","25","1982","Chrysalis","204 980-320","VG+","VG+",,,
"275","Icehouse","Sidewalk","25","1984","Chrysalis","206 334","VG+","VG+",,,
"276","Ike & Tina Turner","Get It Together","15",,"Bellaphon","BI1533","VG+","G",,,
"277","Imagination","Body Talk","30","1981","F1 Team","LP3345","VG+","VG+",,,
"278","Imagination","Night Dubbing","25","1983","Ariola","205 443","VG+","VG+",,,
"279","Iron Butterfly","In-A-Gadda-Da-Vida","20","1968","Atlantic","ATL 40 022","VG","G",,,
"771","Isao Tomita","Pictures At An Exhibition","25","1975","RCA Victor","APL1-0838","VG","VG",,,
"280","J.","J.","20","1990","Amiga","8 56 531","VG+","VG",,,
"281","J. Boss Band","The Wind In Your Face","25","1990","Roxon","ROX7590","VG+","VG+",,,
"283","Jack Jersey","In The Still Of The Night","30","1974","Imperial","5C 052-24992","VG+","VG+",,,
"284","Jackson Browne","Hold Out","30","1980","Asylum Rec.","AS 52226","NM","VG+",,,
"710","Jackson Browne","Running On Empty","35","1977","Asylum","53070","NM","NM",,,
"285","Jacques Brel","Brel","30","1977","Barclay","0066.034","VG+","G",,,
"791","James Dean","Sound Track","25","1975","Warner Bros.","WB 56122","NM","VG+",,,
"282","James Last","Non Stop Dancing 1972","25","1972","Polydor","2371189","VG+","VG+",,,
"286","James Taylor","Dad Loves His Work","20","1981","CBS","86131","VG","VG+",,,
"289","Jelly Bean","Rock The House! (2LP)","30","1988","Chrysalis","CJB1-1","VG+","VG+",,,
"290","Jennifer Rush","Heart Over Mind","35","1987","CBS","450470-1","NM","NM",,,
"291","Jennifer Rush","Jennifer Rush","30","1984","CBS","CBS26177","VG+","VG",,,
"292","Jennifer Rush","Movin'","35","1985","CBS","CBS26710","NM","NM",,,
"293","Jermaine Jackson","Lets Get Serious","30","1980","Motown","1C064-63 370","VG+","VG",,,
"294","Jerry Harrison","Casual Gods","30","1988","Fontana","832 992-1","VG+","VG+",,,
"295","Jerry Lee Lewis and Friends","Duets (Yellow Disc)","35","1978","Bellaphon","BBS2568","VG+","VG+",,,
"296","Jesse Johnson","Every Shade Of Love","25","1988","A&M","395 188-1","VG+","VG",,,
"297","Jesse's Gang","Center Of Attraction","10","1987","Geffen","GHS 24129","G","G",,,
"785","Jim Capaldi","Whale Meat Again","25","1974","Island","ILPS9254","VG+","VG+",,,
"298","Jim Croce","Photographs & Memories","35","1985","Intercord","INT130.103","VG","VG+",,,
"299","Joan Armatrading","Walk Under Ladders","30","1981","A&M","AMLH64876","VG+","VG+",,,
"746","Joan Armatrading","Back To The Night","25","1975","A&M","AMNP110","VG+","VG",,,
"792","Joan Baez","Starparade ","20","1973","Horzu Exclusiv","1C 054-99 479","VG+","VG",,,
"823","Joan Baez","Greatest Hits","35","1972","Vanguard","C 062-93 522","NM","NM",,,
"885","Joan Baez","Live Europe 83 - Children Of The Eighties","30","1983","Ariola","205 742","VG+","VG+",,,
"891","Joan Baez","Ihre schonsten Lieder","25","1982","Vanguard","0062.184","VG+","VG+",,,
"300","Joan Faulkner& Big Band Ljublijana","Joan Faulkner& Big Band Ljublijana","25","1983","RTV","LD1213","VG+","VG+",,,
"303","Joe Cocker","Cocker Happy","30",,"Cube","853013","VG+","VG+",,,
"304","Joe Cocker","I Can Stand A Little Rain","30","1974","Cube","853004","VG+","VG+",,,
"305","Joe Cocker","Impact","30","1972","Impact","6886 554","VG+","VG+",,,
"307","Joe Cocker","Luxury You Can Afford","30","1978","Asylum","K53 087","VG+","VG+",,,
"308","Joe Cocker","Sheffield Steel","30","1982","Island","204 668","VG+","VG+",,,
"867","Joe Cocker","Cocker","35","1986","Capitol","1C 064 24 0424","NM","NM",,,
"309","Joe Dolce","Music Theatre","20","1980","Ariola","203 724","VG+","VG+",,,
"311","Joe's ""Las Vegas"" Big Band","Melodies of Brodway","20",,"Impression","63 025","VG","VG",,,
"312","John Denver","Die Superhits","25","1979","RCA","PL43048","NM","NM",,,
"313","John Denver","Dreamland Express","30","1985","RCA","PL85458","VG+","VG+",,,
"314","John Denver","Greatest Hits vol.3","35","1984","RCA","PL85313","NM","VG+",,,
"315","John Denver","Rocky Mountain High","35","1972","RCA","LSP4731","NM","VG+",,,
"316","John Denver","Seine Grossen Erfolge[Greatest Hits](2LP)","30","1978","RCA","PL42468","VG+","VG+",,,
"317","John Denver","Voice Of America - Best Songs","30","1980","RCA","PL43300","NM","VG+",,,
"318","John Denver","John Denver's Greatest Hits","20","1973","RCA","CPL1-0374","VG","VG",,,
"319","John Denver","Back Home Again (Gatefold)","20","1974","RCA","CPL1-0548","VG","VG",,,
"320","John Farnham","Whispering Jack","25","1986","RCA","PL71224","VG","VG",,,
"767","John Miles","Rebel","25","1976","London Records","820 080-1","VG+","VG",,,
"321","John Schneider","Tryin' To Outrun The Wind","10","1985","MCA ","MCA-5583","VG","VG",,,
"322","John Stewart","Bombs Away Dream Babies","30","1979","RSO","2394-228","VG+","VG+",,,
"323","John Stewart","Dream Babies Go Hollywood","30","1980","RSO","2394-255","VG+","VG+",,,
"739","John Wats","One More Twist","30","1982","EMI","064-07609","VG+","VG+",,,
"324","Johnny and The Hurricanes","You Are My Sunshine","25","1975","Contempo","6.22 103","VG+","VG+",,,
"325","Johnny Cash","Welcome To Europe","30","1975","CBS","53 658","VG+","VG",,,
"326","Johnny Cash","Great Songs Of Johnny Cash","30",,"Vintage","F50004","VG+","VG",,,
"327","Johnny Crash","Neighbourhood Threat","30","1990","Epic","466224 1","VG+","VG+",,,
"328","Jonathan Butler","More Than Friends","30","1988","Jive","6.26902","NM","NM",,,
"329","Jorge y Obo - El Duo Flamenco","Decada","30","1987","EDF","EDF – 23087","NM","NM",,,
"331","Jose Feliciano","Alive Alive-o! Live At London Palladium (2LP)","35","1969","RCA Victor","SF 8084","VG+","VG+",,,
"332","Jose Feliciano","Angela","30","1976","Private Stock","PS2010","VG+","VG+",,,
"333","Jose Feliciano","Che Sara","25","1976","RCA-Victor","27 553-7","VG+","VG+",,,
"334","Jose Feliciano","Jose Feliciano in Concert at the London Palladium","30","1969","RCA Victor","LSP-6021-1","VG+","VG+",,,
"335","Jose Feliciano","Sings","30","1972","Pickwick","CAS-2563","VG+","VG+",,,
"336","Jose Feliciano","Sweet Soul Music","25","1976","Private Stock","PVLP1015","VG+","VG+",,,
"337","Joy Fleming","Joy Fleming (Gatefold)","15","1973","Intercord","26 011-7","VG+","VG+",,,
"338","Judy Collins","Recollections","15","1969","Elektra","EKS-74055","VG","G",,,
"340","Jule Neigel Band","Schatten An Der Wand","20","1988","Intercord","INT145.109","NM","NM",,,
"341","Jule Neigel Band","Wilde Welt","15","1990","Intercord","INT 160.237","VG+","VG+",,,
"342","Julien Clerc","Les Grandes Chansons","30","1972","Prisma","054 CRY 16051","NM","NM",,,
"339","Julio Iglesias","De Nina A Mujer (Gatefold)","40","1981","CBS","CBS 85063","NM","NM",,,
"343","Justin Hayward - John Lodge","Blue Jays (Gatefold)","35","1975","Threshold","6.22 222 (AO)","NM","VG+",,,
"344","Karel Gott","Heut ist der shonste Tag in meinem Leben","20",,"Amiga","8 55 537","VG+","VG+",,,
"345","Kate Bush","The Kick Inside","20","1978","EMI","1C064-06 603","VG+","G",,,
"347","Kevin Johnson","A Man Of The 20th Century","25","1976","Nova","6.2282AS","VG+","VG+",,,
"348","Kid Creole & The Coconuts","Tropical Gangsters","25","1982","Island","204 669-320","VG+","VG+",,,
"349","Kim Carnes","Mistaken Identity","30","1981","EMI America","1A 062-400 008","VG+","VG+",,,
"350","Kim Carnes","Sailin'","30","1976","A&M","AMLE63114","VG+","VG+",,,
"733","Kim Carnes","Mistaken Identity","35","1981","EMI-Electrola","064-400 008","NM","NM",,,
"830","Kim Carnes","The Best Of You","35","1982","A&M","393 204-1","NM","NM",,,
"351","Kim Wilde","Catch As Catch Can","35","1983","RAK","1A 064-1654081","VG+","VG+",,,
"352","Kincade","Kincade","20","1973","Bellaphon","BLPS19153","VG+","VG+",,,
"353","King Curtis","Star- Collection","20","1974","Midi","MID K 30047","VG+","VG",,,
"355","King Swan","Wiseblood","35","1990","Virgin","211 111","VG+","VG+",,,
"356","Kris Kristofferson","Border Lord","25","1972","Monument","MNT 64963","VG+","VG+",,,
"357","Kris Kristofferson","Me And Bobby McGee","25","1971","Monument","MNT 64631","NM","VG+",,,
"358","Kris Kristofferson","Spooky Lady's Sideshow","25","1974","Monument","VG+T 69074","VG+","VG+",,,
"359","Kris Kristofferson & Rita Coolidge","Natural Act","25","1978","A&M","AMLH 64690","VG+","VG",,,
"360","Lake","Lake","25","1976","CBS","CBS81 661","VG+","VG",,,
"361","Lake","Paradise Island","25","1979","CBS","CBS83 480","VG","VG",,,
"362","Larry Hosford","Larry Hosford A.k.a. Lorenzo","20","1974","Shelter","SRL 52018","NM","VG+",,,
"363","Latin Quarter","Modern Times","25","1985","Rockin' Horse","ZL70840","VG","VG",,,
"364","Laurie Anderson","Mister Heartbreak","35","1984","WB","925 077-1","VG+","VG+",,,
"365","Lee Aaron","Lee Aaron","20","1982","Polydor","815 211-1","VG+","VG",,,
"366","Lee Patterson Singers","Oh Happy Day","25",,"Mercury","88 437 DY","NM","NM",,,
"368","Leo Kottke","6&12 String Guitar","30","1972","Metronome","MLP 15.565","VG+","VG+",,,
"369","Leo Kottke","Leo Kottke","15",,"Amiga","8 55 977","VG+","VG+",,,
"370","Leo Kottke","Live In Europe","20","1980","Chrysalis","202 706-320","NM","VG+",,,
"371","Leo Sayer","Living In A Fantasy","30","1980","Chrysalis","202 830-320","VG+","VG+",,,
"372","Leo Sayer","The Show Must Go On","30","1980","Pickwick","SHM 3035","VG+","VG+",,,
"373","Leo Sayer","The Very Best Of","30","1979","Chrysalis","CDL1222","VG+","VG+",,,
"374","Level 42","A Physical Presence (2LP)","30","1985","Polydor","LP 825 677-1","VG+","VG+",,,
"375","Level 42","Running In The Family","25","1987","Polydor","831 593-1","NM","VG+",,,
"376","Level 42","The Early Tapes July/August 1980","25","1980","Polydor","2383 637","VG+","VG+",,,
"377","Level 42","World Machine","25","1985","Polydor","827487-1","VG+","VG+",,,
"378","Limahl","Don't Suppose","30","1984","EMI","1C 064 24 0156","VG+","VG+",,,
"379","Linda Ronstadt","Simple Dreams (Gatefold Cover)","20","1977","Asylum","AS53065","VG","VG",,,
"380","Little Richard","King Of Rock","25","1979","Europa","111403.4","VG","VG",,,
"381","Little River Band","Backstage Pass (2LP)","50","1980","Capitol","1 C 164-86 120","NM","NM",,,
"738","Little River Band","Little River Band","25","1975","EMI","064-82 205","VG+","VG",,,
"382","Lobo","Calumet","20","1973","Philips","6369 802","NM","VG+",,,
"383","Lobo","Collection","20","1975","Atlantic","ATL20 265","VG+","VG+",,,
"384","Lobo","Just A Singer","20","1974","Philips","6369 805","NM","VG+",,,
"385","Lobo","Of A Simple Man","20","1972","Philips","62 360","VG+","VG+",,,
"386","Loek Dikker Waterland Ensemble","Tan Tango","15","1975","Waterland","WM 001","VG+","VG+",,,
"387","London Symphony Orch./cond. Ed Welch","Paul Gallico's The Snow Goose (Musical by Spike Milligan)","30","1976","RCA","RS1088","NM","NM",,,
"388","Lonnie Donegan","The Hits","25",,"MFP","MFP 50389","VG+","VG+",,,
"389","Los Paraguayos","Los Paraguayos","30",,"Amiga","8 55 265","VG+","VG+",,,
"390","Los Reyes","The Gipsy Kings of Music","35","1988","Ariola","209 377","NM","NM",,,
"765","Loverboy","Get Lucky","30","1981","CBS","CBS85402","VG+","VG+",,,
"391","Lucio Battisti","Il Meglio Di Lucio Battisti vol.1","20","1976","Numero Uno","ZNLN 33002","VG+","VG+",,,
"392","Lucio Battisti","Io Tu Noi Tutti","20","1977","Numero Uno","ZPLN 34006","NM","VG+",,,
"393","Luis Bordon","Paraguyan Harp Panorama","20",,"Metronome","KMLP328","VG+","VG+",,,
"394","Luther Vandross","Give Me The Reason","20","1986","Epic","EPC 450134 1","VG+","G",,,
"395","Luv'","Lots of Luv","40","1979","Philips","6423 117","NM","NM",,,
"396","Lynn Anderson","Lynn Anderson's Greatest Hits","20","1972","Columbia","BL 31641","VG","VG",,,
"398","Mahalia Jackson","Welcome to Europe","25","1969","CBS","SPR 32","VG+","VG+",,,
"402","Mahalia Jackson","Mahalia Jackson","20","1976","Pickup","BPU 14007","VG+","VG+",,,
"404","Mahalia Jackson","Silent Night (Stille Nacht)","20","1966","CBS","62 130","NM","NM",,,
"405","Mahalia Jackson","Swings The Gospel (Inedits vol.3)","20","1974","Vogue","LDY 28007","NM","NM",,,
"406","Man At Work","Cargo","35","1982","CBS","CBS25372","VG+","VG+",,,
"407","Manfred Man's Earth Band","Watch","35","1978","Bronze","25 762 XOT","VG+","VG+",,,
"408","Marek & Vacek","Piano Fascination","20",,"Karussell","2415 126","NM","NM",,,
"409","Marianne Faithfull","Broken English","25","1979","Island","201018","VG+","VG+",,,
"834","Marti Webb","Won't Change Places","25","1980","Polydor","2383 598","NM","VG+",,,
"806","Matt Bianco","Matt Bianco","30","1986","WEA","240 880-1","NM","NM",,,
"410","Matt Bianco","Whose Side Are You On","20","1984","WEA","WX7 240 472-1","VG+","VG+",,,
"411","Max Merritt & The Meteors","A Little Easier","25","1975","Arista","1C 062-96 968","NM","VG+",,,
"412","Mayday","Mayday","35","1981","A&M","AMLH64873","VG+","VG+",,,
"413","Maywood","Colour My Rainbow","35","1982","CNR","0060.561","VG+","VG+",,,
"414","Meat Loaf","Bat Out Of Hell","45","1977","Epic","EPC82419","VG+","VG+",,,
"415","Meat Loaf","Blind Before I Stop","30","1986","Melodia URSS",,"VG+","VG+",,,
"416","Meat Loaf","Dead Ringer","20","1981","Epic","EPC83645","G","G",,,
"417","Meat Loaf","Featuring Stony & Meat Loaf","35","1978","Prodigal","5C 052-62172","VG+","VG+",,,
"418","Melanie","Candles In The Rain (Gatefold)","15","1970","Buddah Rec.","2318 006","G","VG",,,
"419","Melanie","Golden Hour Of Melanie","25","1977","Golden Hour","GH 861","VG+","VG+",,,
"420","Melanie","Live At The Carnegie Hall","20","1970","Buddah","MED51.705","VG+","VG+",,,
"421","Melanie","Portrait (2LP)","20","1971","Buddah","DALP2/1701","VG","VG",,,
"422","Melanie","The Original","20","1971","Buddah Rec.","47.006","VG","VG",,,
"423","Melanie & The Edwin Hawkins Singers","Try The Real Thing","25","1972","Pickwick","SPC-3317","VG+","VG+",,,
"743","Melissa Etheridge","Melissa Etheridge","30","1988","Island","209 138","VG+","VG+",,,
"425","Michael And Friends","Michael And Friends","25","1979","Biber","BI 6020","VG+","VG+",,,
"426","Michel Sardou","Star Edition (2 LP)","35","1974","Barclay","0086.030","VG+","VG+",,,
"427","Middle Of The Road","The Best Of","15","1977","RCA Victor","66 237","G","G",,,
"879","Mike Batt","Starsound Collection","30","1983","Memory","296 952","NM","NM",,,
"429","Mike Berry","Memories","25","1981","Polydor","POLS 1054","VG+","VG+",,,
"430","Mike Oldfield","Crises","40","1983","Virgin","205 500-320","NM","NM",,,
"431","Mike Oldfield","Platinum","35","1979","Virgin","201 206-320","VG+","VG+",,,
"432","Mike Oldfield","QE2","30","1980","Virgin","202 967-320","VG+","VG+",,,
"742","Mike Oldfield","Incantations (Double LP)","45","1979","Virgin","VV33002","NM","NM",,,
"882","Millie Jackson","Just A Lil' Bit Country","30","1981","Polydor","2391520","NM","NM",,,
"433","Mirage","Royal Mix '89 (89 Non Stop Hits)","25","1988","Stylus Music","SMR871","NM","NM",,,
"434","Mixed Emotions","Just For You (Gatefold)","30","1988","Electrola","1C 066-7 91275","VG+","VG+",,,
"435","Mixed Emotions","Deep From The Heart","30","1987","Electrola","1C 066Y 14 7256","VG+","VG+",,,
"436","Modern Romance","Adventures in Clubland","20","1981","WEA","WEA58407","VG","VG",,,
"437","Moon Martin","Escape From Domination","25","1979","Capitol","1C 064-85 944","VG+","VG+",,,
"438","Mory Kante","Akwaba Beach","35","1987","Barclay","833 119-1","VG+","VG+",,,
"439","Mother's Finest","Mother's Finest Live","15","1979","Epic","EPC 83693","VG","G",,,
"440","Mother's Finest","One Mother To Another","25","1983","Epic","25363","NM","VG+",,,
"441","Mr. Acker Bilk","Mr. Aker Bilk Compilation","20",,"Hallmark","HMA 216","VG+","VG+",,,
"442","Munich Symphonyc Sound Orchestra","The Sensation Of Sound – Pop Goes Classic","30","1988","PolyStar","837 481-1","NM","NM",,,
"443","Neil Diamond","20 Super Hits","25","1975","MCA Records","6322133AP","VG+","VG+",,,
"444","Neil Diamond","And The Singer Sings His Song","30","1973","MCA Records","62.044","NM","NM",,,
"445","Neil Diamond","Beautiful Noise","20","1976","CBS","CBS 86004","VG+","VG",,,
"446","Neil Diamond","Brother Love's Travelling Salvation Show","20","1970","UNI Records","6369 608","VG+","VG+",,,
"447","Neil Diamond","Gold (Gatefold)","20","1970","UNI Records","6369 602","VG","VG+",,,
"448","Neil Diamond","Greatest Hits","25","1973","Bellaphon","Bl 1535","VG+","VG+",,,
"449","Neil Diamond","Heartlight","30","1982","CBS","25073","NM","NM",,,
"450","Neil Diamond","His 12 Gratest Hits","25","1974","MCA","6.21 804","VG+","VG+",,,
"451","Neil Diamond","Hot August Night (Live at the Greek Theatre) 2LP","25","1973","UNI Records","MAPS 6385","VG+","VG+",,,
"452","Neil Diamond","I'm Glad You're Here With Me Tonight","25","1977","CBS","CBS 86044","VG+","VG+",,,
"453","Neil Diamond","Jonathan Livingston Seagul (Original Sountrack)","20","1973","CBS","S 69047-1","VG+","VG+",,,
"454","Neil Diamond","Love at the Greek  (2LP)","25","1977","CBS","CBS 95001","VG+","VG+",,,
"455","Neil Diamond","Lovescape","30","1991","Columbia","468890 1","NM","NM",,,
"456","Neil Diamond","Moods","25","1972","UNI Records","62 435","VG+","VG+",,,
"457","Neil Diamond","Neil Diamond","20","1972","UNI Records","28 321-8","VG+","VG+",,,
"458","Neil Diamond","September Morn","25","1979","CBS","CBS 86096","VG+","VG+",,,
"459","Neil Diamond","Serenade","25","1974","CBS","69067","VG+","VG",,,
"460","Neil Diamond","Shilo","25","1970","Bellaphon","BLPS 19009","VG+","VG+",,,
"461","Neil Diamond","Stones","25","1971","UNI Records","6369 613","VG","VG+",,,
"462","Neil Diamond","Stones , Moods (2 Original Album Set)","30","1971","MCA","82.042-2","NM","NM",,,
"463","Neil Diamond","World Hits","25","1974","Bellaphon","Bl 15108","VG+","VG+",,,
