"Artist","Album","Pret Lei","An","Casa de discuri (label)","COD","Stare disc","Stare coperta",Gen,Poza,Stoc
"Dr. Hook","Makin' Love and Music","35","1977","Capitol","1C 038-85 156","NM","NM",,,
"Dr. Hook And The Medicine Show","Sylvia's Mother","30","1978","CBS","S31458","VG+","VG+",,,
"Dr. Hook And The Medicine Show","Sylvia's Mother","35","1972","Embassy","EMB31201","NM","NM",,,
"Dschinghis Khan","Dschinghis Khan -Gatefold+MaxiPoster","60","1979","Jupiter","200 690","NM","NM",,,
"Duane Eddy","Movin'N'Groovin'","20","1970","London","ATZ 3300","VG+","VG+",,,
"Dusty Springfield","Dusty Springfield (Motive Series)","25","1981","Philips","6381 044","NM","NM",,,
"Dutch Swing College Band","D.S.C. in Concert! (2LP)","25",,"Philips","6678 014","NM","VG+",,,
"Earth Wind & Fire","All 'N All (Gatefold)","30","1977","CBS","CBS82238","VG+","VG",,,
"Ed Welch","Clowns","25","1978","UA","UAS29248","VG+","VG+",,,
"Eddie Brickell & The New Bohemians","Circle","25","1988","Geffen","921 207-0","VG+","VG+",,,
"Eddie Cochran","Remember Me…","25","1964","Liberty","LBY 1133 F","VG","VG+",,,
"Eddy Grant","File Under Rock","35","1988","Parlophone","064-790341","VG+","VG+",,,
"Eddy Grant","Love In Exile","35","1980","ICE","INT136 101","VG+","VG+",,,
"Eddy Grant","Can't Get Enough","30","1981","Ice Records","INT 146.102","NM","VG+",,,
"Edwin Hakin Singers","Oh Happy Day - The Golden Songs","25","1974","Buddah","38 805 8","VG+","VG+",,,
"Ekseption","Ekseptional (The Best Of  Ekseption)","20","1973","Philips","6410 044","NM","VG+",,,
"Ekseption","With Love From (2LP)","35","1975","Philips","6677 025","VG+","VG+",,,
"Elephant","Welcome To The China Shop","35","1981","Vertigo","6435118","NM","NM",,,
"Elton John","A Single Man (Gatefold)","35","1978","MCA Records","MCA-3065","VG+","VG+",,,
"Elton John","Too Low For Zero","35","1983","Rocket Rec","811 052-1","VG+","VG+",,,
"Elton Motello","Pop Art","20","1980","Edge RKM","HOG1","VG","VG+",,,
"Elvis Presley","Forever -32Hits and the Story of a King (2LP)","10",,"RCA","PJL2-8024","G","G",,,
"Elvis Presley","Elvis' Love Songs","25","1979","K-Tel","TG1237","VG+","VG",,,
"Elvis Presley","Seine 40 Grossten Hits (2LP)","20",,"Arcade","ADE P 12","VG","VG",,,
"Engelbert","Portrait in Gold (2LP Box)","40","1974","Decca","SD 3029","VG+","VG+",,,
"Eric Bourdon Band","Comeback (Soundtrack)","30","1982","Squire","A120 190","VG+","VG+",,,
"Eric Carmen","The Best Of Eric Carmen","30","1987","Arista","208 916","VG+","VG+",,,
"Esther & Abi Ofarim","Das neue Album","20","1966","Philips","843 920PY","VG","VG",,,
"Esther & Abi Ofarim","Esther & Abi Ofarim (2LP)","30","1972","Philips","9299 360","NM","NM",,,
"Esther & Abi Ofarim","Die Ofarim-Story (2LP)","25","1972","Philips","6610 010","NM","VG+",,,
"Esther Philips","What A Difference A Day Makes","25","1975","CTI Records","KU23","VG+","VG+",,,
"Exile","All There Is","35","1979","RAK","1C 064-62 635","VG+","VG+",,,
"Exile","Mixed Emotions","30","1978","RAK","1C 064-61 797","NM","NM",,,
"Fairground Attraction","The First Of A Million Kisses","35","1988","RCA","PL71696","NM","NM",,,
"Fat Boys","Crushin'","30","1987","Polydor","831 948-1","VG+","VG+",,,
"Fats Domino","Attention!","20",,"Fontana","6430024","VG+","VG+",,,
"Fats Domino","Cookin' With Fats (2LP)","25","1973","UA records","UAS 29 561/62XC","VG+","VG+",,,
"Fats Domino","Fantastic Fats","25","1965","MFP","MFP50294","VG+","VG+",,,
"Fats Domino","Fantastic Fats (Sixteen of the Greatest Tracks)","20","1976","ABC Records","27 376 XAT","NM","VG+",,,
"Fats Domino","Fats Domino","20","1973","Everest Rec","FS-280","NM","VG+",,,
"Fats Domino","Here Comes The King of Rock'n'Roll","20",,"Sunset","SLS 50053 Z","VG+","VG+",,,
"Fats Domino","Play It Again (The VeryBest Of)","20","1975","UA records","UAS 29 467","NM","NM",,,
"Fats Domino","Star Collection","20","1973","Midi","MID 24006","VG+","VG+",,,
"Feargal Sharkey","Feargal Sharkey","15","1985","Virgin","207 320-630","VG","VG",,,
