"Artist","Album","Pret Lei","An","Casa de discuri (label)","COD","Stare disc","Stare coperta",Gen,Poza,Stoc
"Kris Kristofferson","Me And Bobby McGee","25","1971","Monument","MNT 64631","NM","VG+",,,
"Kris Kristofferson","Spooky Lady's Sideshow","25","1974","Monument","VG+T 69074","VG+","VG+",,,
"Kris Kristofferson & Rita Coolidge","Natural Act","25","1978","A&M","AMLH 64690","VG+","VG",,,
"Lake","Lake","25","1976","CBS","CBS81 661","VG+","VG",,,
"Lake","Paradise Island","25","1979","CBS","CBS83 480","VG","VG",,,
"Larry Hosford","Larry Hosford A.k.a. Lorenzo","20","1974","Shelter","SRL 52018","NM","VG+",,,
"Latin Quarter","Modern Times","25","1985","Rockin' Horse","ZL70840","VG","VG",,,
"Laurie Anderson","Mister Heartbreak","35","1984","WB","925 077-1","VG+","VG+",,,
"Lee Aaron","Lee Aaron","20","1982","Polydor","815 211-1","VG+","VG",,,
"Lee Patterson Singers","Oh Happy Day","25",,"Mercury","88 437 DY","NM","NM",,,
"Leo Kottke","6&12 String Guitar","30","1972","Metronome","MLP 15.565","VG+","VG+",,,
"Leo Kottke","Leo Kottke","15",,"Amiga","8 55 977","VG+","VG+",,,
"Leo Kottke","Live In Europe","20","1980","Chrysalis","202 706-320","NM","VG+",,,
"Leo Sayer","Living In A Fantasy","30","1980","Chrysalis","202 830-320","VG+","VG+",,,
"Leo Sayer","The Show Must Go On","30","1980","Pickwick","SHM 3035","VG+","VG+",,,
"Leo Sayer","The Very Best Of","30","1979","Chrysalis","CDL1222","VG+","VG+",,,
"Level 42","A Physical Presence (2LP)","30","1985","Polydor","LP 825 677-1","VG+","VG+",,,
"Level 42","Running In The Family","25","1987","Polydor","831 593-1","NM","VG+",,,
"Level 42","The Early Tapes July/August 1980","25","1980","Polydor","2383 637","VG+","VG+",,,
"Level 42","World Machine","25","1985","Polydor","827487-1","VG+","VG+",,,
"Limahl","Don't Suppose","30","1984","EMI","1C 064 24 0156","VG+","VG+",,,
"Linda Ronstadt","Simple Dreams (Gatefold Cover)","20","1977","Asylum","AS53065","VG","VG",,,
"Little Richard","King Of Rock","25","1979","Europa","111403.4","VG","VG",,,
"Little River Band","Backstage Pass (2LP)","50","1980","Capitol","1 C 164-86 120","NM","NM",,,
"Little River Band","Little River Band","25","1975","EMI","064-82 205","VG+","VG",,,
"Lobo","Calumet","20","1973","Philips","6369 802","NM","VG+",,,
"Lobo","Collection","20","1975","Atlantic","ATL20 265","VG+","VG+",,,
"Lobo","Just A Singer","20","1974","Philips","6369 805","NM","VG+",,,
"Lobo","Of A Simple Man","20","1972","Philips","62 360","VG+","VG+",,,
"Loek Dikker Waterland Ensemble","Tan Tango","15","1975","Waterland","WM 001","VG+","VG+",,,
"London Symphony Orch./cond. Ed Welch","Paul Gallico's The Snow Goose (Musical by Spike Milligan)","30","1976","RCA","RS1088","NM","NM",,,
"Lonnie Donegan","The Hits","25",,"MFP","MFP 50389","VG+","VG+",,,
"Los Paraguayos","Los Paraguayos","30",,"Amiga","8 55 265","VG+","VG+",,,
"Los Reyes","The Gipsy Kings of Music","35","1988","Ariola","209 377","NM","NM",,,
"Loverboy","Get Lucky","30","1981","CBS","CBS85402","VG+","VG+",,,
"Lucio Battisti","Il Meglio Di Lucio Battisti vol.1","20","1976","Numero Uno","ZNLN 33002","VG+","VG+",,,
"Lucio Battisti","Io Tu Noi Tutti","20","1977","Numero Uno","ZPLN 34006","NM","VG+",,,
"Luis Bordon","Paraguyan Harp Panorama","20",,"Metronome","KMLP328","VG+","VG+",,,
"Luther Vandross","Give Me The Reason","20","1986","Epic","EPC 450134 1","VG+","G",,,
"Luv'","Lots of Luv","40","1979","Philips","6423 117","NM","NM",,,
"Lynn Anderson","Lynn Anderson's Greatest Hits","20","1972","Columbia","BL 31641","VG","VG",,,
"Mahalia Jackson","Welcome to Europe","25","1969","CBS","SPR 32","VG+","VG+",,,
"Mahalia Jackson","Mahalia Jackson","20","1976","Pickup","BPU 14007","VG+","VG+",,,
"Mahalia Jackson","Silent Night (Stille Nacht)","20","1966","CBS","62 130","NM","NM",,,
"Mahalia Jackson","Swings The Gospel (Inedits vol.3)","20","1974","Vogue","LDY 28007","NM","NM",,,
"Man At Work","Cargo","35","1982","CBS","CBS25372","VG+","VG+",,,
"Manfred Man's Earth Band","Watch","35","1978","Bronze","25 762 XOT","VG+","VG+",,,
"Marek & Vacek","Piano Fascination","20",,"Karussell","2415 126","NM","NM",,,
"Marianne Faithfull","Broken English","25","1979","Island","201018","VG+","VG+",,,
"Marti Webb","Won't Change Places","25","1980","Polydor","2383 598","NM","VG+",,,
"Matt Bianco","Matt Bianco","30","1986","WEA","240 880-1","NM","NM",,,
"Matt Bianco","Whose Side Are You On","20","1984","WEA","WX7 240 472-1","VG+","VG+",,,
"Max Merritt & The Meteors","A Little Easier","25","1975","Arista","1C 062-96 968","NM","VG+",,,
"Mayday","Mayday","35","1981","A&M","AMLH64873","VG+","VG+",,,
"Maywood","Colour My Rainbow","35","1982","CNR","0060.561","VG+","VG+",,,
"Meat Loaf","Bat Out Of Hell","45","1977","Epic","EPC82419","VG+","VG+",,,
"Meat Loaf","Blind Before I Stop","30","1986","Melodia URSS",,"VG+","VG+",,,
"Meat Loaf","Dead Ringer","20","1981","Epic","EPC83645","G","G",,,
"Meat Loaf","Featuring Stony & Meat Loaf","35","1978","Prodigal","5C 052-62172","VG+","VG+",,,
"Melanie","Candles In The Rain (Gatefold)","15","1970","Buddah Rec.","2318 006","G","VG",,,
"Melanie","Golden Hour Of Melanie","25","1977","Golden Hour","GH 861","VG+","VG+",,,
"Melanie","Live At The Carnegie Hall","20","1970","Buddah","MED51.705","VG+","VG+",,,
"Melanie","Portrait (2LP)","20","1971","Buddah","DALP2/1701","VG","VG",,,
"Melanie","The Original","20","1971","Buddah Rec.","47.006","VG","VG",,,
"Melanie & The Edwin Hawkins Singers","Try The Real Thing","25","1972","Pickwick","SPC-3317","VG+","VG+",,,
"Melissa Etheridge","Melissa Etheridge","30","1988","Island","209 138","VG+","VG+",,,
"Michael And Friends","Michael And Friends","25","1979","Biber","BI 6020","VG+","VG+",,,
"Michel Sardou","Star Edition (2 LP)","35","1974","Barclay","0086.030","VG+","VG+",,,
"Middle Of The Road","The Best Of","15","1977","RCA Victor","66 237","G","G",,,
"Mike Batt","Starsound Collection","30","1983","Memory","296 952","NM","NM",,,
"Mike Berry","Memories","25","1981","Polydor","POLS 1054","VG+","VG+",,,
"Mike Oldfield","Crises","40","1983","Virgin","205 500-320","NM","NM",,,
"Mike Oldfield","Platinum","35","1979","Virgin","201 206-320","VG+","VG+",,,
"Mike Oldfield","QE2","30","1980","Virgin","202 967-320","VG+","VG+",,,
"Mike Oldfield","Incantations (Double LP)","45","1979","Virgin","VV33002","NM","NM",,,
"Millie Jackson","Just A Lil' Bit Country","30","1981","Polydor","2391520","NM","NM",,,
"Mirage","Royal Mix '89 (89 Non Stop Hits)","25","1988","Stylus Music","SMR871","NM","NM",,,
"Mixed Emotions","Just For You (Gatefold)","30","1988","Electrola","1C 066-7 91275","VG+","VG+",,,
"Mixed Emotions","Deep From The Heart","30","1987","Electrola","1C 066Y 14 7256","VG+","VG+",,,
"Modern Romance","Adventures in Clubland","20","1981","WEA","WEA58407","VG","VG",,,
"Moon Martin","Escape From Domination","25","1979","Capitol","1C 064-85 944","VG+","VG+",,,
"Mory Kante","Akwaba Beach","35","1987","Barclay","833 119-1","VG+","VG+",,,
"Mother's Finest","Mother's Finest Live","15","1979","Epic","EPC 83693","VG","G",,,
"Mother's Finest","One Mother To Another","25","1983","Epic","25363","NM","VG+",,,
"Mr. Acker Bilk","Mr. Aker Bilk Compilation","20",,"Hallmark","HMA 216","VG+","VG+",,,
"Munich Symphonyc Sound Orchestra","The Sensation Of Sound – Pop Goes Classic","30","1988","PolyStar","837 481-1","NM","NM",,,
"Neil Diamond","20 Super Hits","25","1975","MCA Records","6322133AP","VG+","VG+",,,
"Neil Diamond","And The Singer Sings His Song","30","1973","MCA Records","62.044","NM","NM",,,
"Neil Diamond","Beautiful Noise","20","1976","CBS","CBS 86004","VG+","VG",,,
"Neil Diamond","Brother Love's Travelling Salvation Show","20","1970","UNI Records","6369 608","VG+","VG+",,,
"Neil Diamond","Gold (Gatefold)","20","1970","UNI Records","6369 602","VG","VG+",,,
"Neil Diamond","Greatest Hits","25","1973","Bellaphon","Bl 1535","VG+","VG+",,,
"Neil Diamond","Heartlight","30","1982","CBS","25073","NM","NM",,,
"Neil Diamond","His 12 Gratest Hits","25","1974","MCA","6.21 804","VG+","VG+",,,
"Neil Diamond","Hot August Night (Live at the Greek Theatre) 2LP","25","1973","UNI Records","MAPS 6385","VG+","VG+",,,
"Neil Diamond","I'm Glad You're Here With Me Tonight","25","1977","CBS","CBS 86044","VG+","VG+",,,
"Neil Diamond","Jonathan Livingston Seagul (Original Sountrack)","20","1973","CBS","S 69047-1","VG+","VG+",,,
"Neil Diamond","Love at the Greek  (2LP)","25","1977","CBS","CBS 95001","VG+","VG+",,,
"Neil Diamond","Lovescape","30","1991","Columbia","468890 1","NM","NM",,,
"Neil Diamond","Moods","25","1972","UNI Records","62 435","VG+","VG+",,,
"Neil Diamond","Neil Diamond","20","1972","UNI Records","28 321-8","VG+","VG+",,,
"Neil Diamond","September Morn","25","1979","CBS","CBS 86096","VG+","VG+",,,
"Neil Diamond","Serenade","25","1974","CBS","69067","VG+","VG",,,
"Neil Diamond","Shilo","25","1970","Bellaphon","BLPS 19009","VG+","VG+",,,
"Neil Diamond","Stones","25","1971","UNI Records","6369 613","VG","VG+",,,
"Neil Diamond","Stones , Moods (2 Original Album Set)","30","1971","MCA","82.042-2","NM","NM",,,
"Neil Diamond","World Hits","25","1974","Bellaphon","Bl 15108","VG+","VG+",,,
"Neil Diamond","You Don't Bring Me Flowers","25","1978","CBS","86077","NM","NM",,,
"Neil Sedaka","Yesterday's Pop Scene - Oh, Carol!","25","1972","RCA","INTS1131","VG+","VG+",,,
"Neil Sedaka","The Hungry Years (Gatefold)","30","1975","The Rocket","PIG 2157","NM","VG+",,,
"New Musik","Anywhere (Gatefold)","30","1981","GTO Records","GTLP044","NM","NM",,,
"Nick Heyward","North Of A Miracle (Gatefold)","30","1983","Arista","205 765","VG+","VG+",,,
"Nicole McCloud","What About Me?","30","1985","CBS","PRT26844","VG+","VG+",,,
"Nik Kershaw","Human Racing","20","1984","MCA","250 574-1","VG+","VG",,,
"Nilsson","Rock'N'Roll","25",,"Pickwick","SPC3321","VG+","VG+",,,
"Nini Rosso","In The World","25","1979","Hansa","200 981-320","VG+","VG+",,,
"Nona Hendryx","Female Trouble","20","1987","EMI America","ST-17248","VG+","VG",,,
"Nova","Terranova","25","1982","CNR","0060.525","VG+","VG",,,
"Nutshell","Believe It Or Not","25","1979","Myrrh","MYR1084","VG+","VG+",,,
"Oliver Onions","Santa Maria","25","1980","Polydor","2374 167","NM","NM",,,
"Otis Redding","Star-Collection","25","1973","Midi","MID20 043","VG+","VG+",,,
"P.S. Corporation","Oltime Party (Original Dixieland)","25","1974","CBS","88051","VG+","VG+",,,
"Passport","Iguacu","25","1977","Atlantic","ATL50 341","VG","VG+",,,
"Passport","Doldinger Jubilee '75 (Gatefold)","25","1975","Atlantic","ATL 50 186","VG+","G",,,
"Pat Benatar","Precious Time","25","1981","Chrysalis","203 894","VG+","VG+",,,
"Pat Boone","Tenderly","25","1959","London Records","HAD.2204, HA-D 2204","VG+","VG+",,,
"Pat Boone","The Best Of - 22 Original Hits","25","1980","Warwick","WW 5089","NM","NM",,,
"Pat Boone","Speedy Gonzales","25","1974","Metronome","200.186","VG+","VG+",,,
"Patrick Gammon","Don't Touch Me","25","1979","Motown","1C 064-63 003","NM","VG+",,,
"Paul Anka","The Original Hits Of Paul Anka","25","1974","Embassy","EMB 31054","VG+","VG+",,,
"Paul Anka","Live In New York","25","1975","RCA","FCL1 7153","VG+","VG+",,,
"Paul Anka","Forever -32Hits and the Story of Paul Anka (2LP)","30","1980","RCA","CL 42933","VG+","VG+",,,
"Paul Anka","Golden Songs","25","1981","HEP","HN4091","NM","VG+",,,
"Paul Anka","Hits Of Yesterday","25","1983","CBS","CBS CL466474","VG+","VG+",,,
"Paul Anka","The Best Of","25","1971","RCA","INTS1267","VG+","VG+",,,
"Paul Young","No Parlez","25","1983","CBS","25 521","VG+","VG+",,,
"Paul Young","The Secret Of Association","25","1985","CBS","CBS26234","VG+","VG+",,,
"Peaches and Herb","Sayin' Something","25","1981","Polydor","PD-1-6332","VG+","VG",,,
"Percy Sledge","Star-Collection","25","1973","Midi","MID20019","VG+","VG+",,,
"Percy Sledge","Star-Collection vol.2","25","1973","Midi","MID20065","VG+","VG+",,,
"Pete Bardens","Speed Of Light","35","1988","Cinema/Capitol","7 48967 1","VG+","VG+",,,
"Pete Seger","We Shall Overcome","20","1970","AMIGA","8 45 038","VG+","VG+",,,
"Pete Tex","Plays Golden Saxophon Hits","20","1975","BASF","17 22495-3","VG+","VG+",,,
"Peter & Gordon","The Best Of","25","1978","MFP","1A022-58030","VG+","VG+",,,
"Peter Frampton","Frampton Comes Alive (Double LP)","40","1976","A&M","AMLM63703","VG+","VG+",,,
"Peter Frampton","Where I Should Be","35","1979","A&M","AMLK63710","NM","NM",,,
"Peter Frampton","Premonition","30","1986","Atlantic","81290-1","VG+","VG+",,,
"Peter Frampton,  Bee Gees & Various","Sgt. Pepper's Lonely Hearts Club Band (OST)(2LP)","50","1978","RSO","2658 128","VG+","VG+",,,
"Peter Hofmann","Rock Classics","25","1982","CBS","85 965","VG+","VG+",,,
"Peter Kent","The Dream Maschine Part 1&2","30","1980","Electrola","064-46012","NM","NM",,,
"Peter Shilling","120 Grad","35","1984","WEA","240 480-1","VG+","VG+",,,
"Peter Tosh","Bush Doctor","30","1978","EMI Electrola","1C 064-61 708","VG+","VG",,,
"Peter, Paul and Mary","Star Collection","15","1972","Midi","MID26001","VG+","VG",,,
"Peter, Paul and Mary","The Best Of","20","1967","Warner Bros.","WS1683","VG+","VG+",,,
"Peter, Paul and Mary","The Most Beautiful Songs (2LP)","30","1972","Warner Bros.","WB 66015","NM","NM",,,
"Petula Clark","Profile","25","1977","Vogue","6.24272","VG+","VG+",,,
"Ph.D.","Ph.D.","30","1981","WEA","WEA 99150","NM","NM",,,
"Phil Carmen","Wise Monkeys","25","1986","Metronome","829 051-1","VG+","VG+",,,
"Phil Carmen","City Walls","25","1987","Metronome","831 558-1","NM","NM",,,
"Phil Carmen","Live In Montreaux","25","1978","Metronome","833 527-1","VG+","VG+",,,
"Philip Bailey","Chinese Wall","25","1984","CBS","26161","VG+","VG+",,,
"Phillysound","The Fantastic Sound Of Philadelphia","20","1974","Philadelphia","PIR80281","VG","VG",,,
"Phillysound 2","The Fantastic Sound Of Philadelphia","20","1975","Philadelphia","PIR80733","VG+","VG",,,
"Phyllis Nelson","I Like You","25","1985","Carrere","CAR 829 086-1","NM","VG+",,,
"Poco","Ghost Town","35","1982","Atlantic","ATL K 80 902","NM","NM",,,
"Pointer Sisters","Energy","20","1978","Planet Records","PL52 107","VG+","VG",,,
"Pointer Sisters","Priority","20","1979","Planet Records","PL 52 161","VG+","G",,,
"Precious Wilson","On The Race Track","25","1980","Hansa Int.","202 912-320","VG+","VG+",,,
"Private Lives","Prejudice and Pride","25","1984","EMI","1C 064 2401361","VG+","VG+",,,
"R.Dean Taylor","I Think Therefore I Am","25","1970","Rare Earth","RS 522","NM","NM",,,
"Rainbirds","Rainbirds","25","1987","Mercury","834 023-1","VG+","VG",,,
"Rainbirds","Call Me Easy Say I'm Strong Love Me My Way It Ain't Wrong","25","1989","Mercury","838176-1","VG+","VG+",,,
"Ralph McTell","Streets Of London","25","1968","Pickwick","SHM926","VG+","VG+",,,
"Ramsey Lewis","The Best Of","25","1970","Bellaphon","Bl15109",,,,,
"Randy Crawford","Everything Must Change","25","1976","WB","K 56 328","VG+","VG",,,
"Rasa","Coming Into Full Bloom","25","1979","Lotus Eye","BBT S-17","NM","VG+",,,
"Rasa","Setting The Scene","25","1980","Lotus Eye","BBT S-18","NM","VG+",,,
"Rasa","Transparent Media","30","1981","Lotus Eye","BBT S-21","VG+","VG",,,
"Rasa","Creation","25","1981","Lotus Eye","BBT S-20","VG+","VG+",,,
"Rasa","Universal Forum","25","1982","Lotus Eye","BBT S-22","NM","NM",,,
"Ray Conniff and The Singers","This Guy's In Love With You","20","1974","CBS","CBS 78 251","VG","VG+",,,
"Ray, Goodman & Brown","RGB II",,"1980","Polydor","PD-1-6299",,,,,
"Real Life","Heart Land","25","1983","Curb","INT 147.710","VG+","VG+",,,
"Reinhard Fendrich","Auf und Davon","25","1983","Metronome","813 363-1","NM","NM",,,
"Richard Clayderman","Concerto","30","1979","Telefunken","6.23998","NM","NM",,,
"Richard Clayderman","Traumerein 2 (Die schonsten Klaviermelodien)","25","1980","Teldec","31 412 0","NM","NM",,,
"Richard Clayderman","Ballade Pour Adeline","30","1977","Telefunken","6.23301","NM","NM",,,
"Richard Clayderman & James Last","Traummelodien","30","1990","Polystar","LP 847 542-1","NM","NM",,,
"Richie Havens","Somethin' Else Again","20",,"Verve","FVS9526","VG","G",,,
"Rick Grech","The Last Five Years","35","1973","RSO","2394 111","NM","NM",,,
"Rick Nelson","The Very Best Of","20","1975","United Artists","UA-LA330E","VG+","VG+",,,
"Rick Springfield","Hard To Hold (Soundtrack Recording)","30","1984","RCA","BL84935","VG+","VG+",,,
"Rick Springfield","Tao","35","1985","RCA","PL 85370","VG","VG+",,,
"Ricky Kings","Rock'N'Roll Party","25","1984","Epic","26158","NM","NM",,,
"Rita Coolidge","Love Me Again (Gatefold Cover)","20","1978","A&M","AMLH64699","VG","VG",,,
"Rita Coolidge","Never Let You Go","35","1983","AM records","AMLH64914","VG+","VG+",,,
"Ritchie Francis","Song Bird (Gatefold Cover)","25","1971","Global","26 006-7","VG+","VG+",,,
"Rob Hoeke Boogie Woogie Quartet","That's Boogie Woogie","25",,"Fontana","6428 011","VG+","VG+",,,
"Robert Palmer","Double Fun","25","1978","Island","ILPS 9476","VG","VG",,,
"Robert Tepper","No Easy Way Out","20","1986","Bellaphon","260-14-039","VG+","VG+",,,
"Rod Stewart","A Night On The Town","30","1976","Warner Bros.","WB56 234","VG+","VG+",,,
"Rod Stewart","Foot Loose & Fancy Free","25","1977","Warner Bros.","WB65 423","VG","VG",,,
"Rod Stewart","Tonight I'm Yours","40","1981","Warner Bros","WB K 56 951","NM","NM",,,
"Rod Stewart","Greatest Hits","35","1979","Warner Bros","WB 56744","VG+","VG",,,
"Rodgers and Hammerstein","The Sound Of Music - Movie Soundtrack","20","1965","RCA Victor","LOCD 2005","G","VG",,,
"Roger Champman and The Shortlist","Live In Hamburg","25","1979","Acrobat","C 064-63 482","VG+","VG",,,
"Roger Whittaker","The Best Of Roger Whittaker 2","25","1976","Aves","69.020","NM","NM",,,
"Rondo Veneziano","Rondo Veneziano","25","1980","Baby Records","BR56011","VG+","VG+",,,
"Rondo Veneziano","Venezia 200","25","1983","Baby Records","42 174 3","VG+","VG",,,
"Rondo Veneziano","Fantasia Veneziana","25","1986","Baby Records","13 028 6","VG+","VG",,,
"Roy Orbison","Mystery Girl","30","1989","Virgin","209 576","NM","VG+",,,
"Rubettes","Little Darling","30","1975","State Records","2309 004","NM","NM",,,
"Rupert","Tribute to Elvis (3LP)","25","1975","Copyrite","CR8101","VG","G",,,
"Russ Ballard","The Fire Still Burns","25","1985","EMI America","1C 064-24 0367","VG+","VG",,,
"Saga","Behaviour","35","1985","Polydor","825 840-1","VG+","VG+",,,
"Saga","Images At Twilight","30","1976","Polydor","2391 437","VG+","VG",,,
"Saga","In Transit","35","1982","Polydor","2374 200","VG+","VG+",,,
"Saga","Silent Knight","35","1980","Polydor","2374 166","VG+","VG+",,,
"Sailor","Greatest Hits vol.1","20","1978","Epc","EPC82754","VG","VG",,,
"Sailor","The Third Step (Gatefold)","25","1976","Epic","EPC 81701","VG+","VG+",,,
"Sailor","Trouble","25","1975","Epic","EPC 69192","VG+","VG",,,
"Sal Paradise","Shimmer","20","1984","Arista","206 156","VG","VG+",,,
"Sally Oldfield","Easy","25","1979","Castle","CLALP102","VG+","VG+",,,
"Sally Oldfield","Femme","30","1987","CBS","4510341","VG+","VG+",,,
"Sally Oldfield","Playing in the Flame","30","1981","Bronze","204140-320","VG+","VG+",,,
"Sam & Dave","Soul Man","25","1967","Atlantic","STAX S725","VG","VG",,,
"Sam The Sham and The Pharaohs","Their Second Album","20","1965","MGM","SE-4314","VG+","VG+",,,
"Sammy Davis","Star Collection","20",,"Midi","MID24005","VG+","VG",,,
"Sammy Davis Jr.","Hearin' is Believin'","25","1979","RCA","PL40801","VG+","VG+",,,
"Santa Esmeralda & Leroy Gomez","Don't Let Me Be Misunderstood","20","1977","Philips","9101149","NM","VG+",,,
"Santana","Santana's Greatest Hits","20","1974","CBS","CBS69081","VG","G",,,
"Saragossa Band","Saragossa Band","25","1979","Ariola","34 279 0","VG+","VG",,,
"Secret Service","Oh Susie","30","1980","Strand","31 705 7","VG+","VG+",,,
"Shakatak","TheVery Best Of","30","1988","Arcade","LP 01.3690.21","VG+","VG+",,,
"Shakatak","Out Of This World","25","1983","Polydor","815 304-1","NM","NM",,,
"Shakatak","Drivin' Hard","25","1981","Polydor","2383 607","NM","VG+",,,
"Shakatak","Invitations","25","1982","Polydor","2383 652","VG+","VG+",,,
"Shakatak","Down On The Street","20","1984","Polydor","823 304-1","VG+","VG",,,
"Shakin' Stevens","Shaky","30","1981","Epic","913855","NM","VG+",,,
"Shakin' Stevens","The Bop Won't Stop (Gatefold)","35","1983","Epic","EPC86301","NM","NM",,,
"Shakin' Stevens","Jetzt kommt Shaky (Best of) (Gatefold)","30","1983","Epic","EPC SHAKY100","NM","NM",,,
"Shakin' Stevens & The Sunsets","From Memphis to New Orleans","25","1983","Teldec","6.25605AO","NM","VG+",,,
"Shanana","Shanana","25","1971","Kama Sutra","2319 007","VG+","VG+",,,
"Sheila B. Devotion","Singing In The Rain","25","1977","Carrere","67.187","VG","VG+",,,
"Shirley Bassey","Big Spender","25","1973","Sunset","SLS 50 262 Z","NM","NM",,,
"Shirley Bassey","Good Bad but Beautiful","25","1975","United Artists","UAS 29 881 XO","NM","VG+",,,
"Shirley Bassey","Gold Collection (Double LP)","30","1979","Liberty","1C 2LP 134","VG+","VG+",,,
"Shirley Bassey","Shirley Bassey (Double LP)","30","1974","MFP","1M 146 - 50 292","NM","VG+",,,
"Shirley Bassey","Love, Life and Feelings","15","1976","United Artists","UA-LA605G","VG","VG",,,
"Shirley Bassey","And I Love You So","20","1972","United Artists","1C 064-94072","VG+","VG",,,
"Shirley Bassey","Something","25","1970","United Artists","UAS29100","VG+","VG+",,,
"Siegfried Schwab & Peter Horton","Guitarissimo","15","1978","Nature"," 0060.131","VG+","VG+",,,
"Silver Convention","Madhouse","30","1976","Jupiter Records","28 222OT","VG+","VG",,,
"Simple Minds","New Gold Dream (81-82-83-84)","25","1982","Virgin","204 965","VG","VG",,,
"Skiffle","The Best Of Skiffle","20","1974","2001 Metronome","200.194","NM","NM",,,
"Sky","Sky","25","1979","Ariola","200 589","NM","NM",,,
"Sky","Sky III","25","1981","Ariola","32 848 4","VG+","VG",,,
"Sky","Masterpieces -The Very Best of Sky (Gatefold)","25","1984","Telstar","STAR2241","VG+","VG",,,
"Sly Fox","Lets Go All The Way","35","1985","Capitol","064-24 0291-1","VG+","VG+",,,
"Sniff 'n' the Tears ","Fickle Heart","30","1978","Chiswick","0067.065","VG+","VG+",,,
"Soeur Sourire","The Singing Nun","10","1963","Philips","PCC-203","VG","VG",,,
"Sonny & Cher","The Sonny & Cher Collection","30","1990","WEA","9548-30152","VG+","VG+",,,
"Spargo","Good Time Spirit (Gatefold)","25","1980","Papagayo","1C 064-46 182","VG+","VG",,,
"Spotnicks","If You Could Read My Mind","15","1972","Polydor","62 199","VG+","VG+",,,
"Spotnicks","On Tour","20","1972","Karussel","2499050","VG+","VG+",,,
"Spotnicks","Something Like Country","20","1972","Polydor","248 112","VG+","VG+",,,
"Spotnicks","Recital des Spotnicks a Berlin","25","1974","President","KVP308","VG","VG+",,,
"Stanley Clarke","School Days","20","1976","Nemperor RecordsNE 50 296","NE 50 296 ","VG+","G",,,
"Stars On '45","Long Play Album vol. 2","35","1981","CNR","655.130","VG+","VG",,,
"Status Quo","1+9+8+2","35","1982","Vertigo","6 302 189","VG+","VG+",,,
"Status Quo","Hello!","35","1973","Vertigo","6360 098","VG+","VG+",,,
"Status Quo","Live (2LP)","25","1977","Capitol","SKBB-11623","VG","VG",,,
"Status Quo","Rockin' Around With…","30","1983","SuperStar","SU1018","VG+","VG+",,,
"Status Quo","Whatever You Want","35","1979","Vertigo","6360 175","NM","NM",,,
"Steve Goodman","The Best Of The Asylum Years Vol. One","20","1988","Red Pajamas","RPJ-006","VG+","VG",,,
"Summer","Flying Home","30","1979","Touchstone","BBT 113T","VG+","VG+",,,
"Supermax","World Of Today","30","1977","Atlantic","ATL50423","VG+","VG",,,
"Supertramp","…famous last words…","45","1982","A&M","AMLK63732","NM","NM",,,
"Supertramp","Crime Of The Century","45","1974","A&M","AMLS68258","VG+","VG+",,,
"Supertramp","Die Songs Einer Supergrupe (Best Of)","25","1984","A&M","AMTV4","VG","VG",,,
"Sybil","Sybil","30","1989","Metronome","841 762-1","VG+","VG+",,,
"Syd Lawrence & His Orchestra","Glenn Miller Hits (2 LP)","25","1980","Philips","61 590","VG+","VG+",,,
"Tammy Wynette","Greatest Hits Volume II","20","1971","Epic","E30733","G","VG",,,
"Tax","Tax","20","1980","Jupiter Records","6.24819","VG+","VG",,,
"Teaze","One Night Stands","25","1979","Aquarius Rec.","AQR523","VG+","VG",,,
"Ten Sing Norway","Something So Strong","20","1988","Tria Music","20.227","VG+","G",,,
"Terry Dolan & The Pirates","Wind Dancer","30","1981","Rag Baby","INT147 408","VG+","VG+",,,
"The  Weather Girls","Success","20","1983","CBS","CBS25719","VG+","G",,,
"The Alan Parsons Project","Eve (Gatefold)","35","1979","Arista","201 157","VG+","VG+",,,
"The Alan Parsons Project","Pyramid","35","1978","Arista","064-60 792","NM","VG+",,,
"The Alan Parsons Project","Tales Of Mistery amd Imagination -Edgar Allan Poe","30","1976","20thCentury","6370 243","VG+","VG",,,
"The Ambassador-Plaza Quintet","The Cosy Corner Bar","20",,"Amanda","AVRS 18009","VG+","VG",,,
"The Andrews Sisters","The Immortal Hits Of The Andrews Sisters","30","1988","The Entertainers","ENT LP 13067","NM","NM",,,
"The Animals feat. Eric Burdon","Let It Rock","30","1973","Intercord","INT 128.611","NM","NM",,,
"The Band of the Grenadier Guards","National Hymnen","25","1978","Decca","6.23 618","VG+","VG",,,
"The Beach Boys","Beach Boys","25","1976","EMI Electrola","64 505","VG+","VG",,,
"The Beach Boys","The Beach Boys","25","1970","MFP","MFP 5484","VG+","VG+",,,
"The Beach Boys","The Beach Boys","30","1965","MFP","MFP 5235","NM","NM",,,
"The Beach Boys","The Best of The Beach Boys vol.3","25","1968","Capitol","1C 048-80 059","VG","VG",,,
"The Beach Boys","The Very Best Of The Beach Boys (Anthology 1963-69)","25","1974","EMI Electrola","1 C 152-81482/83","VG+","VG",,,
"The Beachboys","All Time Greatest Hits (Double LP)","40","1974","Capitol","1A 138-81675","NM","NM",,,
"The Belle Stars","The Belle Stars","25","1983","Stiff Records","6.25456","VG+","VG+",,,
"The Box","Closer Together","25","1988","Westpark","87005","VG+","VG+",,,
"The Casuals","Hour World","20","1969","Vogue","MDINT 9751","VG","VG",,,
"The Catch","Walk The Water","20","1986","Metronome","829014-1ME","VG+","VG",,,
